"agent","task","method","result","metric"
"Duel DQN-tuned","Name This Game","DDQN (tuned) noop",10616,"score"
"Duel DQN-tuned","Pong","DDQN (tuned) noop",20.9,"score"
"Duel DQN-tuned","Private Eye","DDQN (tuned) noop",129.7,"score"
"Duel DQN-tuned","Q*Bert","DDQN (tuned) noop",15088.5,"score"
"Duel DQN-tuned","River Raid","DDQN (tuned) noop",14884.5,"score"
"Duel DQN-tuned","Road Runner","DDQN (tuned) noop",44127,"score"
"Duel DQN-tuned","Robotank","DDQN (tuned) noop",65.1,"score"
"Duel DQN-tuned","Seaquest","DDQN (tuned) noop",16452.7,"score"
"Duel DQN-tuned","Space Invaders","DDQN (tuned) noop",2525.5,"score"
"Duel DQN-tuned","Star Gunner","DDQN (tuned) noop",60142,"score"
"Duel DQN-tuned","Tennis","DDQN (tuned) noop",-22.8,"score"
"Duel DQN-tuned","Time Pilot","DDQN (tuned) noop",8339,"score"
"Duel DQN-tuned","Tutankham","DDQN (tuned) noop",218.4,"score"
"Duel DQN-tuned","Up and Down","DDQN (tuned) noop",22972.2,"score"
"Duel DQN-tuned","Venture","DDQN (tuned) noop",98,"score"
"Duel DQN-tuned","Video Pinball","DDQN (tuned) noop",309941.9,"score"
"Duel DQN-tuned","Wizard of Wor","DDQN (tuned) noop",7492,"score"
"Duel DQN-tuned","Zaxxon","DDQN (tuned) noop",10163,"score"
"Duel DQN-tuned","Phoenix","DDQN (tuned) noop",12252.5,"score"
"Duel DQN-tuned","Pitfall!","DDQN (tuned) noop",-29.9,"score"
"Duel DQN-tuned","Skiing","DDQN (tuned) noop",-9021.8,"score"
"Duel DQN-tuned","Solaris","DDQN (tuned) noop",3067.8,"score"
"Duel DQN-tuned","Yars Revenge","DDQN (tuned) noop",11712.6,"score"
"Duel DQN-tuned","Defender","DDQN (tuned) noop",35338.5,"score"
"Duel DQN-tuned","Surround","DDQN (tuned) noop",-2.9,"score"
"Double DQN-Pop-Art","Alien","DDQN+Pop-Art noop",3213.5,"score"
"Double DQN-Pop-Art","Amidar","DDQN+Pop-Art noop",782.5,"score"
"Double DQN-Pop-Art","Assault","DDQN+Pop-Art noop",9011.6,"score"
"Double DQN-Pop-Art","Asterix","DDQN+Pop-Art noop",18919.5,"score"
"Double DQN-Pop-Art","Asteroids","DDQN+Pop-Art noop",2869.3,"score"
"Double DQN-Pop-Art","Atlantis","DDQN+Pop-Art noop",340076,"score"
"Double DQN-Pop-Art","Bank Heist","DDQN+Pop-Art noop",1103.3,"score"
"Double DQN-Pop-Art","Battle Zone","DDQN+Pop-Art noop",8220,"score"
"Double DQN-Pop-Art","Beam Rider","DDQN+Pop-Art noop",8299.4,"score"
"Double DQN-Pop-Art","Berzerk","DDQN+Pop-Art noop",1199.6,"score"
"Double DQN-Pop-Art","Bowling","DDQN+Pop-Art noop",102.1,"score"
"Double DQN-Pop-Art","Boxing","DDQN+Pop-Art noop",99.3,"score"
"Double DQN-Pop-Art","Breakout","DDQN+Pop-Art noop",344.1,"score"
"Double DQN-Pop-Art","Centipede","DDQN+Pop-Art noop",49065.8,"score"
"Double DQN-Pop-Art","Chopper Command","DDQN+Pop-Art noop",775,"score"
"Double DQN-Pop-Art","Crazy Climber","DDQN+Pop-Art noop",119679,"score"
"Double DQN-Pop-Art","Demon Attack","DDQN+Pop-Art noop",63644.9,"score"
"Double DQN-Pop-Art","Double Dunk","DDQN+Pop-Art noop",-11.5,"score"
"Double DQN-Pop-Art","Enduro","DDQN+Pop-Art noop",2002.1,"score"
"Double DQN-Pop-Art","Fishing Derby","DDQN+Pop-Art noop",45.1,"score"
"Double DQN-Pop-Art","Freeway","DDQN+Pop-Art noop",33.4,"score"
"Double DQN-Pop-Art","Frostbite","DDQN+Pop-Art noop",3469.6,"score"
"Double DQN-Pop-Art","Gopher","DDQN+Pop-Art noop",56218.2,"score"
"Double DQN-Pop-Art","Gravitar","DDQN+Pop-Art noop",483.5,"score"
"Double DQN-Pop-Art","HERO","DDQN+Pop-Art noop",14225.2,"score"
"Double DQN-Pop-Art","Ice Hockey","DDQN+Pop-Art noop",-4.1,"score"
"Double DQN-Pop-Art","James Bond","DDQN+Pop-Art noop",507.5,"score"
"Double DQN-Pop-Art","Kangaroo","DDQN+Pop-Art noop",13150,"score"
"Double DQN-Pop-Art","Krull","DDQN+Pop-Art noop",9745.1,"score"
"Double DQN-Pop-Art","Kung-Fu Master","DDQN+Pop-Art noop",34393,"score"
"Double DQN-Pop-Art","Montezuma Revenge","DDQN+Pop-Art noop",0,"score"
